,cc,cc,cc,cc,cc,cc,cc,cc,mse,mse,mse,mse,mse,mse,mse,mse,vaf,vaf,vaf,vaf,vaf,vaf,vaf,vaf,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,5.0,0.5270174392990192,0.0014071561700290654,0.5248051273641533,0.5265919659592794,0.5273386240876302,0.5280046785687732,0.5283468005152597,5.0,0.36755318113016183,0.0008020782793357966,0.3666668861610972,0.3672633199807843,0.36736630833716716,0.36762644618836593,0.3688429449833947,5.0,0.2752979080071644,0.0015814522545808394,0.27275488944386284,0.27515345179327133,0.27566636381430343,0.2758694252518131,0.27704540973257163,5.0,2.58324602852402,0.025922623933617318,2.5384683784182624,2.5879584850385107,2.5904611210055104,2.5937947536946795,2.605547404463137,5.0,0.07212405145167962,0.0021356860765426285,0.07085290067400818,0.07113433634034008,0.07120635771535341,0.07150477094941911,0.07592189157927731,5.0,0.6450741803595247,0.01007830840991235,0.6395235512686414,0.6399887060725962,0.6400542921437921,0.6428557002690357,0.6629486520435584,5.0,0.20865836810914531,0.0027983168885734417,0.2066118999286135,0.20692994203003653,0.20778885659959262,0.20847004135132322,0.2134911006361607,5.0,0.31414856159656335,0.010810557659444194,0.30421118448556395,0.3051434196983724,0.3099904622814579,0.3243723132244843,0.32702542829293807
2021-04-12,5.0,0.6105797647503979,0.0011448106677838083,0.6091363638767814,0.6098026604622616,0.6107219758021695,0.6111857885454189,0.6120520350653578,5.0,0.25051528372223375,0.000635206542301362,0.2496369374445956,0.2502075800423789,0.25053438551694107,0.25091637526386784,0.2512811403433851,5.0,0.3700651817739057,0.0015972626971705907,0.3681393920805025,0.36905661445770366,0.3700171492331441,0.37083892004151464,0.3722738330566634,5.0,1.6739185732213684,0.01964330183981964,1.6414953873267093,1.6715985483702607,1.6797689222248402,1.6841717704644232,1.6925582377206092,5.0,0.06435677334064907,0.002252337990643604,0.06146774388883319,0.06321853345910453,0.06435154294622131,0.0652506440104523,0.06749540239863401,5.0,0.7319471603292051,0.0093720895119223,0.7245093768797021,0.7252970764999773,0.7273674148993488,0.73596184742467,0.7466000859423274,5.0,0.19868816118532728,0.0033814552206517536,0.19487270866532158,0.19741668279001445,0.19829802646232708,0.19874236044756682,0.20411102756140637,5.0,0.3060146029612641,0.013914060244028378,0.28434771747046045,0.3050759217646849,0.3079248181733708,0.309794496267281,0.32293006113052336
2022-06-16,5.0,0.5339506492103333,0.00378834082761461,0.531385827494923,0.5314751646625864,0.5321484861631419,0.5343683621037653,0.54037540562725,5.0,0.40377834254608996,0.0027571249137514995,0.39902543595876827,0.4038045483451573,0.4048989029000607,0.40541058614699593,0.4057522393794672,5.0,0.2819096293244539,0.004903345827887262,0.2783991975865421,0.2790068029741931,0.27991679435744377,0.28186302421966414,0.29036232748442625,5.0,2.8574817278910833,0.015068548514968623,2.836114445224454,2.855627405644078,2.857646427677106,2.8594601078167052,2.8785602530930716,5.0,0.08933013020297952,0.003164864507339371,0.08523161118093762,0.08691034314129835,0.09067133523195076,0.09086696232554038,0.09297039913517044,5.0,0.6926894826491247,0.0038596836909809717,0.6894334773649767,0.6898737656827744,0.6910113480498008,0.6945380196998323,0.698590802448239,5.0,0.23408004414237582,0.003245638617379398,0.23014921860064833,0.2311856704841702,0.2356205875854486,0.23572969269407634,0.23771505134753565,5.0,0.44955682869085567,0.006951427624891642,0.44083959613321866,0.44503801883579636,0.4503255731115842,0.4527431944269792,0.4588377609467002
2022-09-06,5.0,0.5262147105102658,0.0016936095614523588,0.5233558342717846,0.5259693999943965,0.5271540341460579,0.5272127094436873,0.5273815746954025,5.0,0.5047724516958001,0.0013389920367040643,0.5036910067943171,0.5038794441050813,0.5039553377983929,0.505602321253081,0.5067341485281279,5.0,0.27597537798514465,0.0019205945173882252,0.2731616015938968,0.2747850475887187,0.277147412193283,0.2772562709521724,0.27752655759765243,5.0,3.745191944676049,0.029066636643738233,3.69931030271525,3.735875863340962,3.7544563539423907,3.7633212948609445,3.7729959085207,5.0,0.1213014139095959,0.004344993260311064,0.11563548029589032,0.11853360984255658,0.12198741864308364,0.12355231438623292,0.12679824638021603,5.0,0.7328522547034383,0.010616981888172972,0.723053866918503,0.7276406181108906,0.7280076944973397,0.7354604066626966,0.7500986873277616,5.0,0.27756291048545245,0.0040531281250834736,0.27347433581112585,0.27356285420266496,0.27758825505129836,0.28110182596746963,0.28208728139470374,5.0,0.4785563897080041,0.008705854033233647,0.4687516078192111,0.47040409754173196,0.48038805257269745,0.4847211318602287,0.48851705874615137
