,cc,cc,cc,cc,cc,cc,cc,cc,mse,mse,mse,mse,mse,mse,mse,mse,vaf,vaf,vaf,vaf,vaf,vaf,vaf,vaf,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,5.0,0.4572398127061178,0.01256098676658011,0.43779172305302433,0.4541274407384818,0.4599376424661921,0.46277464446435873,0.471567612808532,5.0,0.14439519614707513,0.0070934172084354,0.13652331920393804,0.13868423344595981,0.14352481251217666,0.15076177001425553,0.15248184555904562,5.0,0.1319519613904793,0.0426428791200897,0.08333815464143812,0.09367858315122324,0.13718437096691616,0.16628405901944665,0.17927463917337227,5.0,0.736857877071392,0.06894435724315402,0.6511930579727387,0.697775045437265,0.7343896761246279,0.7684553347190983,0.8324762711032302,5.0,0.030343509206876552,0.010524461577319157,0.01702368805007785,0.02419824875259211,0.029200891406468504,0.037979860898116974,0.04331485692712731,5.0,0.4092344457489732,0.06017286459460636,0.3312579269732455,0.37527165580225036,0.4058161723950197,0.44982646575287466,0.4840000078214756,5.0,0.10918530618160247,0.026141410015190908,0.08246151534719715,0.09495063125345271,0.09984599289360874,0.11909362088080913,0.14957477053294466,5.0,0.053240247848758825,0.03889551949503554,0.025904852877577586,0.028283279403423733,0.03570927736920741,0.057036100884835954,0.11926772870874944
2021-06-08,5.0,0.4610961071291225,0.01314191866872194,0.4438407967480792,0.45154008223090875,0.46366693264200226,0.47238978585272245,0.4740429381718997,5.0,0.48547480065421844,0.00861230873073373,0.4775296048860437,0.4776057335449616,0.48318318308922215,0.49341505732488283,0.4956404244259823,5.0,0.20919374087693904,0.014028879852438211,0.19263461382077118,0.19625958926753884,0.21292663393642086,0.2220119294112849,0.22213593794867936,5.0,3.523687925169061,0.05079646110252985,3.4549935018695224,3.4988084272913413,3.5211304099458385,3.558411206958867,3.5850960797797344,5.0,0.04108697245446826,0.006833509076077216,0.03205960633325147,0.038007758217747566,0.04188961313684422,0.04278427874083084,0.050693605843667194,5.0,0.5859038535790064,0.020172665819324705,0.5550942459105104,0.5844883275636772,0.5847457415527122,0.5949160110910457,0.6102749417770871,5.0,0.12413145167732509,0.013093084812446478,0.10818894764804013,0.12139217131786972,0.12299655669708705,0.12340000727590388,0.1446795754477247,5.0,0.06590976174391222,0.040482903808349985,0.026489986741371253,0.05244557074773543,0.054757227003458316,0.0615580852645478,0.13429793896244835
2021-06-23,5.0,0.497459351957158,0.004947529094667128,0.49130211174085964,0.49403372551012575,0.4973503167850006,0.5015030299564479,0.5031075757933559,5.0,0.4451943678170139,0.002296943264413533,0.44115507059268594,0.4457451445834604,0.445933413678091,0.44628757158028476,0.44685063865054725,5.0,0.23471112266023705,0.003948444228428968,0.23186399399376134,0.23283190598281256,0.23344070322501453,0.23376433769679394,0.2416546724028028,5.0,2.9342944069915182,0.10264295512879029,2.781507984580997,2.923099780458481,2.9441472387856567,2.953485972599507,3.06923105853295,5.0,0.05565301380512644,0.01002986432827899,0.03978790361265442,0.05610025383925831,0.056836689132581414,0.05788218066742597,0.06765804177371208,5.0,0.6996048135109921,0.03713905521042297,0.6469668070393806,0.6976622388102903,0.7005066462735962,0.7009374528388576,0.7519509225928358,5.0,0.15982460349295083,0.015001810143605786,0.1420126136484779,0.15066162124090424,0.1591406898827103,0.16603777142770543,0.1812703212649563,5.0,0.17552427439833942,0.050260943817394856,0.09637311191696962,0.1574732253275947,0.1997599926494614,0.20050799089571672,0.22350705120195472
2021-07-06,5.0,0.4766242284098525,0.009111260874840588,0.46537418494681404,0.47177986036934455,0.476870872450081,0.4792381112367484,0.48985811304627475,5.0,0.499427382320471,0.006624761604425369,0.4911150200589438,0.4938049161288243,0.5024243275122956,0.5031582147462123,0.5066344331560791,5.0,0.21175807948776298,0.010455803976437184,0.20038325345100438,0.20586973891918647,0.20702802679682364,0.22063196927796058,0.2248774089938398,5.0,3.115549115945343,0.10745404006542075,3.0239140201292902,3.0390252586010886,3.0497846615555644,3.221385451943176,3.243636187497595,5.0,0.07441581811659848,0.008343699606930157,0.06512321763850272,0.06672556344269331,0.07537890994738104,0.08105951940491542,0.08379188014949991,5.0,0.7512564804889438,0.034624611243689575,0.7037953628938981,0.7250116834381124,0.772439559260951,0.7739081346442258,0.7811276622075315,5.0,0.14462756883346556,0.012467044384739024,0.1305583568038444,0.13372325496492507,0.1450499670169393,0.15561770699687175,0.15818855838474724,5.0,0.08392096518045553,0.029715407097436107,0.0491006172560604,0.06112210543586413,0.08182039516599995,0.11131724660921087,0.11624446143514233
