,diff_rrnn,pval_rrnn,diff_rrds,pval_rrds
mse,0.03475251168277817,9.045059478466236e-06,0.01435045415827799,6.384173389347984e-06
mse_lo,0.2481735208647498,1.0272445319507265e-06,0.1006411735257233,3.305849072069218e-07
mse_hi,0.12701508106601267,1.6045977864521193e-07,0.10720699373555657,2.5283660483884665e-09
mean_hi,-0.3475555922265576,3.46526760095569e-08,-0.28173745419419316,2.7569339664123653e-16
mean_lo,0.3203989025466625,7.22262027651916e-11,0.371189635571466,1.9739778302138487e-14
kl_div,0.6536843848347151,1.9536419785385342e-08,0.8108677287233637,5.108910832252746e-12
