,cc,cc,cc,cc,cc,cc,cc,cc,mse,mse,mse,mse,mse,mse,mse,mse,vaf,vaf,vaf,vaf,vaf,vaf,vaf,vaf,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,5.0,0.5271829371052069,0.0011511598902838045,0.52527930637234,0.527306010269808,0.5274388712289388,0.5274794276163156,0.5284110700386325,5.0,0.3674272486961565,0.0006479516791389764,0.36697380279955355,0.3670344848012453,0.3672561707914806,0.36731428813716216,0.368557496951341,5.0,0.27554620812551145,0.001277561891692632,0.2733177053752839,0.2757689316866685,0.27588352125943993,0.27632061800934427,0.27644026429682067,5.0,2.5845223717555728,0.017772995444573437,2.563817277442699,2.574281629773084,2.5793504995408987,2.5975338977459748,2.6076285542752053,5.0,0.07200798108263386,0.0012108026178399027,0.07096661444378298,0.07101579112180456,0.07186522766326665,0.07225746293342827,0.0739348092508868,5.0,0.6446391094984063,0.008082478556428773,0.6360421053982213,0.6378891057212319,0.6461731617637595,0.6468507699358848,0.6562404046729338,5.0,0.20813840651100052,0.0024598525753971364,0.20560053753732163,0.20608809446702633,0.2075798216279414,0.21067770371965427,0.210745875203059,5.0,0.3039276431796021,0.022010743863904104,0.2754608007507153,0.2862335159724103,0.31129263665014817,0.3213710067287624,0.3252802557959742
2021-04-12,5.0,0.6106640004053192,0.0009784252621453061,0.609336970798363,0.6103254675930049,0.6104315442922976,0.6113912227098098,0.611834796633121,5.0,0.25046652602945785,0.00048744819521439974,0.24993255478424029,0.25006489233041773,0.25040241531754126,0.25095737904869453,0.2509753886663954,5.0,0.3701877857439291,0.0012257159949868959,0.3689082219267501,0.36895350812679395,0.3703489957469973,0.371197716345524,0.37153048657358,5.0,1.6734737755282936,0.017369510080072845,1.6446356070615695,1.6713742470829922,1.6791187160255145,1.6830359662630572,1.6892043412083337,5.0,0.0643589573036933,0.0024013927847881793,0.06228335646412206,0.0625484506818915,0.06395736558433415,0.06475248719280051,0.06825312659531832,5.0,0.732056483394337,0.008625788665335424,0.7224044086329819,0.72545434093839,0.7320469267371443,0.7364061205686355,0.7439706200945337,5.0,0.19871392193891455,0.0039033376980574805,0.1953568227083088,0.19581002823283453,0.19803362668375507,0.19929597430835141,0.20507315776132296,5.0,0.3062008322790355,0.01048455112749276,0.29827647949214026,0.2985353613971057,0.30331131185105037,0.3071021582378599,0.32377885041702126
2022-06-16,5.0,0.5338253942965357,0.002305046876698681,0.5312673120277575,0.5322611297422297,0.5337252442614545,0.5346448443595258,0.5372284410917115,5.0,0.40385897218819755,0.0016484941030949927,0.4014475769939724,0.40332837118659326,0.40388985394360777,0.4047970742409316,0.4058319845758827,5.0,0.28176623537909407,0.0029317266847040473,0.2782573765634221,0.28009788921042256,0.2817113144265492,0.282709870611039,0.2860547260840376,5.0,2.857566636590424,0.014476303910435636,2.8427766864862622,2.8428873127049883,2.8600723041574536,2.8669112958472396,2.8751855837561773,5.0,0.08929100895635142,0.002225025304403356,0.08572154707668482,0.08910152405716373,0.08930159055722997,0.09114576142026971,0.09118462167040878,5.0,0.6926267764222857,0.0038557561840279453,0.6893285526483643,0.6897275999082707,0.6907400815361261,0.6952638322842652,0.6980738157344021,5.0,0.23422509773153338,0.001997449982994689,0.2317125689534372,0.23246673300447906,0.2350867706159005,0.2359109252850609,0.2359484907987892,5.0,0.4528580305411172,0.010001478459191962,0.44108713875966243,0.44436630003530003,0.45370935466158563,0.4621569216213904,0.4629704376276472
2022-09-06,5.0,0.5261614190160664,0.001173100823180356,0.524925685910933,0.525082147515054,0.5261104213741582,0.5272695375420267,0.5274193027381604,5.0,0.5048017187065338,0.0011310489635760936,0.5035438442779531,0.5037155503875128,0.505000505794852,0.5057891992861372,0.5059594937862139,5.0,0.2759333986015377,0.001622329617201465,0.2742727341543647,0.27451699750636605,0.27564826666536035,0.27749135328781604,0.27773764139378143,5.0,3.7453737895944363,0.019251922509234496,3.72142841679129,3.73319640747721,3.743117038935124,3.7614578685856674,3.7676692161828917,5.0,0.12135316695824978,0.0028921567623473384,0.11727532027781651,0.12048830300826784,0.12180697384362361,0.12189462284640488,0.12530061481513607,5.0,0.7327141580649612,0.005521730780143525,0.7256801833678709,0.7287366302161562,0.7330996917223324,0.7378594049235339,0.7381948800949125,5.0,0.2774341287208856,0.0029540831864043222,0.27495707680285,0.27542406030348937,0.2771955054291026,0.2771982507243856,0.28239575034460046,5.0,0.48061152928328016,0.01846513250020549,0.4536984099597254,0.4701439124271301,0.4866001563171344,0.4954824879325647,0.4971326797798462
