,cc,cc,cc,cc,cc,cc,cc,cc,mse,mse,mse,mse,mse,mse,mse,mse,vaf,vaf,vaf,vaf,vaf,vaf,vaf,vaf,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,5.0,0.7021644070421627,0.008507493600231366,0.6953829712522941,0.6983140120802711,0.699552146232525,0.7005959250768514,0.7169769805688718,5.0,0.25755165426731313,0.006191487176676246,0.24679816290977405,0.258649743512069,0.25934211715673583,0.26039778009876224,0.26257046765922437,5.0,0.4921871657597232,0.012207712896640978,0.482291605739657,0.4865754789344754,0.4886569223331517,0.490022070710287,0.5133897510810448,5.0,1.5207753186233168,0.037764349915665525,1.4560298210654166,1.5235098273689935,1.532687479655986,1.5384666874874051,1.5531827775387823,5.0,0.023798928126445868,0.004942229675236952,0.015212523746605042,0.024514021672976543,0.025153686406332032,0.02661181743150117,0.027502591374814547,5.0,1.0859838070789043,0.02547570198874683,1.055444044754208,1.0765666630761939,1.0853290500094748,1.086929840553786,1.125649437000859,5.0,0.0910263132369348,0.01583915050335196,0.0670022846263223,0.08537670953067729,0.09455137265747429,0.09962048775712534,0.10858071161307475,5.0,0.026646282182576676,0.03630401019364513,0.002343687629208101,0.005144251414527115,0.012765486486759514,0.022984366404409262,0.08999361897797938
2021-04-12,5.0,0.7634601378539216,0.004029492353018533,0.7586806971918151,0.7601216071811591,0.7641242527205474,0.7660171605970084,0.768356971579078,5.0,0.16660132617169823,0.0024243537397784795,0.16338681595328686,0.16530641899054005,0.16635682690101242,0.1687132732589571,0.16924329575469466,5.0,0.5810715635435674,0.006096174292010114,0.5744281819330903,0.5757609534093344,0.5816863707575122,0.5843276807259704,0.5891546308919295,5.0,1.017948778716116,0.014141652241470043,1.0031562994152257,1.0068722727503054,1.0166728208395162,1.0248734368665213,1.0381690637090126,5.0,0.015732192442551633,0.0026269085046106643,0.013917537341296622,0.014075830210693486,0.014532543823210028,0.01592050805076028,0.02021454278679774,5.0,1.1463232107764278,0.01680108058147764,1.11889572486077,1.145169118218725,1.1509819509561074,1.152468644819209,1.1641006150273283,5.0,0.07933337544408786,0.014517129712988956,0.06573910804650644,0.06983910359265649,0.07638715759022684,0.08185174385161281,0.10284976413943671,5.0,0.032142815444672346,0.02902394383979056,0.006858304710969071,0.014636898450412533,0.02105801675700054,0.038469134678136535,0.07969172262684306
2022-06-16,5.0,0.6490840576936152,0.02171875886989442,0.6241538646088258,0.6364410288565231,0.6443089792469366,0.6606154231206484,0.6799009926351427,5.0,0.32538407535673175,0.015974793298834656,0.3025102074039463,0.317211754662489,0.32890881875059497,0.3346930212196552,0.3435965747469729,5.0,0.42132812321858404,0.02841000626504878,0.3889385196662992,0.40477284107255773,0.41505962383777195,0.4358620002948126,0.4620076312214786,5.0,2.1049698255534897,0.10420434782813626,1.9512282273006176,2.045400063744984,2.151658046645858,2.1785931634871223,2.1979696265888653,5.0,0.02353044011781947,0.003025127059332397,0.021251494260835307,0.021497685937351758,0.022570575868276564,0.023669839204809313,0.028662605317824424,5.0,0.9675098881980061,0.05149529181561541,0.917239988317799,0.9232777259967692,0.9584221107876639,1.0009268566365315,1.0376827592512674,5.0,0.07972538750595817,0.015573505447435933,0.06134461970531927,0.06838682652093059,0.08211779668020684,0.08549528005244895,0.10128241457088515,5.0,0.04408789369873275,0.0452043564287929,0.002806197491493635,0.007118673733880056,0.036466434540947536,0.060969190921399886,0.11307897180594266
2022-09-06,5.0,0.6953182733027585,0.06824547930689351,0.5734280047253973,0.7199187883310851,0.7259971935501479,0.7266665024721557,0.7305808774350065,5.0,0.35792939034267984,0.062308296666647035,0.325341298742989,0.32930101065755185,0.329828717221494,0.3359947814976028,0.46918114359376184,5.0,0.48660096112566303,0.0893724306683156,0.327026070844909,0.5180630522614753,0.5269073985443018,0.5276643189035832,0.5333439650740459,5.0,2.37532218562167,0.48973073555065477,2.0569429885012465,2.1735624130525997,2.1896608240938087,2.2116348661670093,3.244809836293686,5.0,0.04671415783989824,0.015618951777146966,0.035480541001286545,0.03851924125148413,0.03927569992513763,0.046616069248960064,0.07367923777262285,5.0,1.2120798360813758,0.16165431217742723,0.925213305098833,1.2510544459254416,1.2832912086781,1.2960628137043184,1.3047774070001863,5.0,0.10685422731947777,0.03137823819010472,0.07856909724053086,0.09412350542967705,0.09576789454558358,0.10555545806053011,0.16025518132106728,5.0,0.044445566758473186,0.07333515229845713,0.0031246831027282765,0.008847186963757695,0.013040004001042695,0.022174757956445704,0.17504120176839158
