,cc,cc,cc,cc,cc,cc,cc,cc,mse,mse,mse,mse,mse,mse,mse,mse,vaf,vaf,vaf,vaf,vaf,vaf,vaf,vaf,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,5.0,0.48555210494497825,0.0031400560810906134,0.4803134583728352,0.4851956170629324,0.48649612152477617,0.4875933302682346,0.48816199749611294,5.0,0.1416462902984905,0.0016357643471210817,0.14044576543066797,0.14067293925017713,0.1410778082476002,0.14156302912787275,0.14447190943613444,5.0,0.14847731953158855,0.00983358221764915,0.13149079078453063,0.14897785346745063,0.1518948136202244,0.15432872934931097,0.15569441043642607,5.0,0.681552899082133,0.005474387622796656,0.6765286773699002,0.6771393257828622,0.6798373152421088,0.6848922811439216,0.6893668958718726,5.0,0.030478921483378895,0.0015521460895440476,0.02854143917260444,0.029625531574267883,0.03012988159356632,0.031821759706897344,0.03227599536955846,5.0,0.46393619505262873,0.003384419163844736,0.4603538766101223,0.461430255863233,0.4633894246618634,0.4657715350912252,0.46873588303669955,5.0,0.09635669805621822,0.0035352227747825165,0.09146669384933402,0.09416962651043287,0.09740482654314747,0.09836541294863815,0.10037693042953853,5.0,0.02421030449269889,0.002675890371659334,0.021240400424685793,0.022886340058671566,0.0239989723459986,0.024478557643582373,0.028447251990556116
2021-06-08,5.0,0.4367538052321705,0.0018597397819591418,0.4347268510771079,0.43501099381495845,0.4369579342486228,0.4381558067797186,0.4389174402404449,5.0,0.5008008942580074,0.002053167668759295,0.4989547870014079,0.4989751904528526,0.5000966144222689,0.5028314791425791,0.5031464002709285,5.0,0.1842285506478077,0.0033444739897846875,0.18040787687992277,0.18092086251603234,0.18537577580043263,0.18720250108658554,0.1872357369560652,5.0,3.6795819236854044,0.012329404895635363,3.6644191691135504,3.672674837261988,3.6773185827131476,3.6879232469291185,3.6955737824092183,5.0,0.061799896779799954,0.002296811560721218,0.059509359481449274,0.05983721930764149,0.06154365834090592,0.06311402061352656,0.0649952261554765,5.0,0.5456306690386712,0.006348070476944996,0.539856380041769,0.5411688127481081,0.5426199088246855,0.5498944088412444,0.5546138347375489,5.0,0.13008139288985662,0.002836254673075456,0.12810382014331534,0.1281061409719567,0.12947033947647577,0.12975785017422375,0.13496881368331157,5.0,0.0636041499684107,0.007648041376998382,0.05528088622520526,0.06111560561432573,0.06120999010726951,0.06448132487922181,0.07593294301603117
2021-06-23,5.0,0.46639380656754437,0.003775637471090662,0.46038765971326456,0.4649550171486721,0.4684212095377344,0.46888735022130534,0.46931779621674535,5.0,0.4612264266264014,0.002118317288437112,0.459165784772718,0.46020541743685206,0.46075132624234183,0.4612570313037042,0.46475257337639125,5.0,0.2071520222433957,0.0036413862723972466,0.20109057788850193,0.20709941281967548,0.20796871954647145,0.20890713648766446,0.2106942644746651,5.0,3.136073585988295,0.0335288227079958,3.1093377698649696,3.111514805422048,3.1141493024744538,3.1697153817936536,3.17565067038635,5.0,0.06889469136318402,0.002331639074174435,0.06654817013529958,0.0669048797423455,0.06853451650966161,0.07049383483999695,0.07199205558861643,5.0,0.6253249048980738,0.010258669645822591,0.6138319626575577,0.6147971797062333,0.6293675331333602,0.634098630726032,0.634529218267186,5.0,0.13461457943538352,0.0016237233320717007,0.13276652294520114,0.13299428408462788,0.13526319508000917,0.13579090775210997,0.13625798731496938,5.0,0.044916037388411864,0.004073106716777846,0.04040907164012189,0.04220390605157293,0.045111576666166706,0.04578310658074934,0.05107252600344843
2021-07-06,5.0,0.4485853741891358,0.0018961521019553037,0.445601473741628,0.44828965119372466,0.44868031181916096,0.4497838058191971,0.45057162837196835,5.0,0.5193987628977831,0.0014617935370765168,0.5179277179211345,0.5181179645015761,0.5192099055877258,0.5204312684103892,0.5213069580680896,5.0,0.18023742215336042,0.00230713610395958,0.1772257342103284,0.17860782762769634,0.18053549401335856,0.18225889519099092,0.18255915972442793,5.0,3.324357816830639,0.03679536127143967,3.2863394020432266,3.3044576156597967,3.3191523191213537,3.3280384057579537,3.3838013415708668,5.0,0.08311795203263335,0.0023167438728557894,0.08151632500228917,0.08152427368789199,0.08196919842497769,0.08361529800092213,0.08696466504708578,5.0,0.6671508160288531,0.01327405573945018,0.6458933845585579,0.6654563780097612,0.6703655049672113,0.6722791353649094,0.681759677243825,5.0,0.1368904031753189,0.0025187671626264807,0.1349439842323761,0.13496528430074087,0.13563664698172573,0.1381929115471841,0.14071318881456765,5.0,0.09007778919485454,0.0064106798419119124,0.07955797339114541,0.08880147719335589,0.09266552440685483,0.09345761898789413,0.09590635199502243
