,cc,cc,cc,cc,cc,cc,cc,cc,mse,mse,mse,mse,mse,mse,mse,mse,vaf,vaf,vaf,vaf,vaf,vaf,vaf,vaf,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,5.0,0.4591429317320312,0.0015046726778904166,0.45741302446466614,0.45786013774628237,0.45958255828989725,0.4597533064872411,0.4611056316720692,5.0,0.13934884497907057,0.0005351671283463938,0.13857069701359062,0.1391574223628791,0.13933756220223115,0.1397336909063498,0.1399448524103022,5.0,0.16228867168560202,0.0032172176671044148,0.15870570566261644,0.15997512690533566,0.16235649937355057,0.16343943037400932,0.1669665961124981,5.0,0.766064758024623,0.004158650346293996,0.7629252696828439,0.7633186454805083,0.7638802399280624,0.7674123986660868,0.7727872363656136,5.0,0.035707426067016164,0.0005632237606572715,0.03482395695993769,0.03556656674233487,0.03576898875943865,0.03616354922325759,0.036214068650112,5.0,0.37125640184643627,0.002558995465139235,0.36768978599507,0.37047232835476407,0.37079797541961,0.3729246312523388,0.3743972882103982,5.0,0.1468115881899063,0.0012784411127888487,0.14475401469213223,0.1464607680184696,0.1472134262956969,0.14775848890963905,0.14787124303359375,5.0,0.1367855699278076,0.0038691420864594437,0.13270332382467415,0.13417196011157217,0.13523695246919792,0.14088073495665057,0.14093487827694332
2021-06-08,5.0,0.41067481728263966,0.00168522835167065,0.4083807666019318,0.4102558210838145,0.4103400408784143,0.411435491273627,0.41296196657541034,5.0,0.5136258943771971,0.0015146440602707893,0.5119048589146267,0.5124749123317504,0.5135127473365638,0.5146594244536047,0.5155775288494396,5.0,0.16333747586114147,0.002467254740290469,0.16015839271596088,0.1616539238985809,0.16352178488771374,0.16521234929319373,0.16614092851025808,5.0,4.0438721343718935,0.01265234897624022,4.0254004335445615,4.0416761380594,4.041913483360668,4.051032629908375,4.0593379869864625,5.0,0.06428306523176985,0.0008715884740585539,0.06283765088081997,0.06417931761393168,0.0645531860785841,0.06476808451351579,0.06507708707199776,5.0,0.422314367847979,0.004682491013118131,0.4171379049268218,0.41834446325671654,0.4229869201579511,0.4244546258764773,0.4286479250219284,5.0,0.19921307143417832,0.001747492358866874,0.19658789891123965,0.1985947006207687,0.19933097109231343,0.2006304965605338,0.20092128998603612,5.0,0.3398007746660709,0.016507730603060024,0.3158814602729977,0.3315538947170401,0.3424843004740807,0.3525345150976366,0.3565497027685993
2021-06-23,5.0,0.43420019837669627,0.0019414243200796424,0.4315552562514452,0.4327896941320926,0.43500142275322184,0.4355495220446898,0.4361050967020323,5.0,0.4748042026900802,0.0009672282154954064,0.47358837595900477,0.4743403913971299,0.4746768622814402,0.4752604978656416,0.4761548859471848,5.0,0.1838118325381783,0.001662664778976001,0.18149000875020072,0.1830274613783337,0.18403073063171438,0.18460912389974682,0.18590183803089577,5.0,3.5258802241804483,0.02878985398280704,3.500442844477047,3.5051866134987093,3.5095382139071347,3.5538275183155856,3.5604059307037628,5.0,0.08110799201425083,0.0023773851802242002,0.0790059003936406,0.07948817287996796,0.0796574487625655,0.08348925314077554,0.08389918489430451,5.0,0.4822518905432645,0.008196681968942058,0.47247657401397003,0.4746175936215909,0.48509089042999154,0.4889490781675227,0.49012531648324725,5.0,0.2246786709595102,0.0034467600648902873,0.2207495848603774,0.22224092216642963,0.22392245190586635,0.2279243918113487,0.22855600405352888,5.0,0.3052211696245409,0.00757642209311266,0.2964276549040537,0.29875455235615694,0.30608659487455475,0.3106702531371356,0.3141667928508032
2021-07-06,5.0,0.41630461917275063,0.0012011068217199026,0.41450746135802985,0.416021561818431,0.4165143634750818,0.41666218281004913,0.4178175264021614,5.0,0.5301615829419516,0.00076829758675938,0.529463183062401,0.5296732082140263,0.5296900467163872,0.5308537919471639,0.5311276847697795,5.0,0.16325055631047158,0.0012125974400889253,0.1617257661465059,0.16215804882093565,0.16399477785936423,0.16402135392209005,0.16435283480346208,5.0,3.7684008017886717,0.033701439580804037,3.7336773795468514,3.751593865025754,3.7604498892316984,3.7734156302020216,3.822867244937035,5.0,0.08909555766488966,0.002498350601842168,0.08624158184289353,0.08770163989955754,0.08835714591389197,0.0906135268097012,0.09256389385840409,5.0,0.5177278672770879,0.010278790225693715,0.5014128616482261,0.51628780737353,0.520386436400495,0.5211931728465546,0.5293590581166334,5.0,0.22562480866436543,0.0028034368304244296,0.2228264625387619,0.22353754934465242,0.2256134236617322,0.2261681460995507,0.22997846167712988,5.0,0.3677244175457311,0.006315476641742522,0.36295487252368064,0.3639953056196266,0.3651804151878454,0.36798057696868125,0.37851091742882137
