,diff_rrnn,pval_rrnn,diff_rrds,pval_rrds
mse,0.27980773436183093,2.526208577801965e-10,0.056648290323644844,1.6278251250190978e-10
mse_lo,0.6943207647614524,2.3893789124714036e-14,0.17105333080895538,1.3186327485565107e-07
mse_hi,0.35789810208961154,2.8800653560940846e-10,0.16460712103146832,1.382561899091902e-12
mean_hi,-0.575618105344181,1.130719744994275e-12,-0.2836582118897053,2.522963526165968e-20
mean_lo,0.609725740949711,6.0933464209464195e-15,0.3856560913324548,2.4648342400530614e-15
kl_div,0.9045618132452917,7.4351183563447e-14,0.7778983160110264,2.0977508171360634e-15
