,diff_rrnn,pval_rrnn,diff_rrds,pval_rrds
mse,0.2846675208458139,1.8908310495289898e-11,0.057022352157846345,1.60228964935301e-10
mse_lo,0.7001814473536914,4.056490590350847e-14,0.17102368092799738,1.6184567328151014e-07
mse_hi,0.36318363985091034,4.428975787961247e-11,0.1649802621488941,1.3561563868741515e-12
mean_hi,-0.584450470637025,4.264024539182146e-14,-0.28379903838761456,1.982687534011633e-20
mean_lo,0.5975363310360056,1.4711413135524448e-15,0.3858133529320713,2.2121242081814344e-15
kl_div,0.876684630991783,1.445229490097458e-12,0.7771715557686487,4.8143981149623554e-15
