,cc,cc,cc,cc,cc,cc,cc,cc,mse,mse,mse,mse,mse,mse,mse,mse,vaf,vaf,vaf,vaf,vaf,vaf,vaf,vaf,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_hi,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mse_lo,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_hi,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,mean_lo,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div,kl_div
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,5.0,0.6873684355050911,0.021150316263599738,0.6516157267011057,0.6858380371617782,0.6945601087196893,0.7009516469841387,0.7038766579587435,5.0,0.2680488928151566,0.01501143063320675,0.25626167358416485,0.2582747196274173,0.26322979267854885,0.2690795691978598,0.29339870898779213,5.0,0.471489832349688,0.02959793505320728,0.42150777327607325,0.4694576547790411,0.4809916191109508,0.4907615027372897,0.49473061184508527,5.0,1.6073750863620553,0.09821127055059524,1.5338293969684895,1.536164878370923,1.5720894684862574,1.6244252880652401,1.770366399919366,5.0,0.026982164938408694,0.003892533537905063,0.020672704657001446,0.026073582808698332,0.028236059983341902,0.029409856461214298,0.03051862078178748,5.0,1.0567776660189572,0.041387809618644446,0.9859506083181736,1.0577753490821133,1.0690437124032546,1.081877524041957,1.089241136249287,5.0,0.10273446946226832,0.019370930956360128,0.07439156513819647,0.09255521660521843,0.11148746538684562,0.11152487124518755,0.12371322893589352,5.0,0.06971878622943742,0.07763289405048256,-0.0012655835097168736,0.01634762734225697,0.044107704857767875,0.09823014237638936,0.19117404008048977
2021-04-12,5.0,0.7684432806690801,0.004674172345681404,0.7604785382074613,0.7689805681025137,0.7695995342495081,0.7704245759608769,0.77273318682504,5.0,0.16343054773079876,0.0028320091749733435,0.16075641177555453,0.16242759112030689,0.16271811794610988,0.1630001737315563,0.16825044408046622,5.0,0.5890446648694644,0.0071212468889902125,0.5769247634974473,0.5901268645778168,0.5908361097675507,0.5915666558663066,0.5957689306382006,5.0,0.9922771885695365,0.03620458982051556,0.9455939782912917,0.9819450279208358,0.983585907907499,1.0061200798651877,1.0441409488628686,5.0,0.012747053890497323,0.002461050379092131,0.00941377678358201,0.011671797472648567,0.01303000538873371,0.013511790945146769,0.016107898862375573,5.0,1.1549917140216914,0.016494624419981924,1.126027499629762,1.1586926064267764,1.1613887525323374,1.16152849672813,1.167321214791451,5.0,0.06927651185327217,0.015196684994253262,0.051014042499611924,0.06653140272504682,0.06727061708185528,0.06825587966570763,0.09331061729413917,5.0,0.02668301709323387,0.03620127205771185,0.006666689554718973,0.006767115731605362,0.013271252951120081,0.015657761161691812,0.09105226606703312
2022-06-16,5.0,0.6504824385620764,0.017578414467435445,0.6325950708444564,0.6360553493745715,0.6512937360696519,0.6559621862721865,0.6765058502495156,5.0,0.32445328424614434,0.012708680868935783,0.305688116189729,0.3203620877738928,0.3238977756615522,0.33497466058258224,0.33734378102296536,5.0,0.42298346740918263,0.022601463214757787,0.40005865784586947,0.40427196598043214,0.4239713989631828,0.4302593623290055,0.45635595192742306,5.0,2.108859413764429,0.08618507579779708,1.9855606183721648,2.081495955913096,2.0962792167657622,2.1786949006132126,2.20226637715791,5.0,0.021162432053117457,0.002020354403842077,0.018189257753140623,0.020408159004550105,0.021170785457554336,0.022985000945549883,0.023058957104792343,5.0,0.9674088650542586,0.032080321901688746,0.9309562561544112,0.9367699385236034,0.9806689767492422,0.9837342500656882,1.0049149037783482,5.0,0.08030838480271206,0.008123437555938817,0.07157545661990732,0.0729033679037136,0.08014735878575308,0.08839274676500503,0.08852299393918128,5.0,0.02924771739411557,0.03315095004555847,0.0036819107265954483,0.009599675843810213,0.01650653453720135,0.030706553872175867,0.08574391199079497
2022-09-06,5.0,0.7147011609684488,0.009737016841747522,0.702648575525854,0.7067450309896632,0.7166561618702142,0.7223346705846787,0.7251213658718345,5.0,0.3411433043886297,0.009639981776386253,0.33078111933005794,0.3336309834434413,0.33920435574760394,0.3490674658090157,0.35303259761302963,5.0,0.5106782250436124,0.013827189139244817,0.4936247170641245,0.4993121372987185,0.5134593723748675,0.5214535859305257,0.5255413125498254,5.0,2.22760120486151,0.08840697656352828,2.139800488701316,2.171449678636087,2.207370658814256,2.2526227061283204,2.36676249202757,5.0,0.047047311037675524,0.011350660818838933,0.03431392149502954,0.039770258138577166,0.04490981120013021,0.053100290402910665,0.06314227395173005,5.0,1.2634078585842967,0.03082824449853519,1.2244615055605725,1.2393528455071867,1.268497925683896,1.2910804437112773,1.2936465724585502,5.0,0.11786738381140834,0.020230801544840808,0.0998103510305839,0.10632803679458921,0.1097639054638778,0.12254652693626873,0.150888098831722,5.0,0.05986847190322543,0.05498188130351248,0.018652231243024807,0.021551737245877663,0.03054626473238127,0.08158091965795763,0.14701120663688577
