decoder,on_off,mean,std
rr,mix,0.4623006941635362,0.12416107132603507
rr,off,0.5046624070036362,0.13674867207062966
rr,on,0.4519878882925017,0.12107695620804979
tcfnn,mix,0.3526427463377983,0.11249362518363093
tcfnn,off,0.4107684008508305,0.1250502889086496
tcfnn,on,0.34131790799851436,0.1118824586927027
