,index,decoder,test_context,train_context,on_off,fold,mse,date
71,71,rr,Spring,Spring,on,1,0.33480030073148714,2022-05-31
72,72,tcfnn,Wrist,Mixed,mix,1,0.2660262046484262,2022-05-31
73,73,rr,Wrist,Mixed,mix,1,0.3583889024495912,2022-05-31
74,74,tcfnn,Wrist,Mixed_Full,mix,1,0.253929035772917,2022-05-31
75,75,rr,Wrist,Mixed_Full,mix,1,0.3473154142906566,2022-05-31
76,76,tcfnn,Wrist,Normal,off,1,0.3007642072114928,2022-05-31
77,77,rr,Wrist,Normal,off,1,0.38646021130610514,2022-05-31
78,78,tcfnn,Wrist,Wrist,on,1,0.2721315684010211,2022-05-31
79,79,rr,Wrist,Wrist,on,1,0.34390780713898317,2022-05-31
80,80,tcfnn,Wrist,SprWrst,off,1,0.3554406560585246,2022-05-31
81,81,rr,Wrist,SprWrst,off,1,0.40406094344654064,2022-05-31
82,82,tcfnn,Wrist,Spring,off,1,0.3638936070328647,2022-05-31
83,83,rr,Wrist,Spring,off,1,0.3896355951101772,2022-05-31
84,84,tcfnn,SprWrst,Mixed,mix,1,0.26085861127078463,2022-05-31
85,85,rr,SprWrst,Mixed,mix,1,0.35339365342119644,2022-05-31
86,86,tcfnn,SprWrst,Mixed_Full,mix,1,0.2548580497055479,2022-05-31
87,87,rr,SprWrst,Mixed_Full,mix,1,0.34680008235552656,2022-05-31
88,88,tcfnn,SprWrst,Normal,off,1,0.29365410595895014,2022-05-31
89,89,rr,SprWrst,Normal,off,1,0.3753969435076702,2022-05-31
90,90,tcfnn,SprWrst,Wrist,off,1,0.3711934722970003,2022-05-31
91,91,rr,SprWrst,Wrist,off,1,0.41962775086451826,2022-05-31
92,92,tcfnn,SprWrst,SprWrst,on,1,0.2444256950152681,2022-05-31
93,93,rr,SprWrst,SprWrst,on,1,0.33923637358771586,2022-05-31
94,94,tcfnn,SprWrst,Spring,off,1,0.28466022004565134,2022-05-31
95,95,rr,SprWrst,Spring,off,1,0.3663499365322148,2022-05-31
96,96,tcfnn,Normal,Mixed,mix,2,0.18517357278791444,2022-05-31
97,97,rr,Normal,Mixed,mix,2,0.264266352425947,2022-05-31
98,98,tcfnn,Normal,Mixed_Full,mix,2,0.17548081362858847,2022-05-31
99,99,rr,Normal,Mixed_Full,mix,2,0.25432300524318147,2022-05-31
100,100,tcfnn,Normal,Normal,on,2,0.2045936348732556,2022-05-31
101,101,rr,Normal,Normal,on,2,0.2565909506934828,2022-05-31
102,102,tcfnn,Normal,Wrist,off,2,0.23166215180821978,2022-05-31
103,103,rr,Normal,Wrist,off,2,0.3049236695123976,2022-05-31
104,104,tcfnn,Normal,SprWrst,off,2,0.23580541021545376,2022-05-31
105,105,rr,Normal,SprWrst,off,2,0.29542640845511325,2022-05-31
106,106,tcfnn,Normal,Spring,off,2,0.18966059040031796,2022-05-31
107,107,rr,Normal,Spring,off,2,0.2677753741676323,2022-05-31
108,108,tcfnn,Spring,Mixed,mix,2,0.246467524069954,2022-05-31
109,109,rr,Spring,Mixed,mix,2,0.3437261611900161,2022-05-31
110,110,tcfnn,Spring,Mixed_Full,mix,2,0.23989532589670837,2022-05-31
111,111,rr,Spring,Mixed_Full,mix,2,0.334361048212466,2022-05-31
112,112,tcfnn,Spring,Normal,off,2,0.2856368381760244,2022-05-31
113,113,rr,Spring,Normal,off,2,0.3463057203603122,2022-05-31
114,114,tcfnn,Spring,Wrist,off,2,0.3386849195075755,2022-05-31
115,115,rr,Spring,Wrist,off,2,0.3938357316353796,2022-05-31
116,116,tcfnn,Spring,SprWrst,off,2,0.2960445699423193,2022-05-31
117,117,rr,Spring,SprWrst,off,2,0.3720320071607324,2022-05-31
118,118,tcfnn,Spring,Spring,on,2,0.22332767381961682,2022-05-31
119,119,rr,Spring,Spring,on,2,0.3347391802219947,2022-05-31
120,120,tcfnn,Wrist,Mixed,mix,2,0.2872347947360521,2022-05-31
121,121,rr,Wrist,Mixed,mix,2,0.3560424887124698,2022-05-31
122,122,tcfnn,Wrist,Mixed_Full,mix,2,0.25989027734731635,2022-05-31
123,123,rr,Wrist,Mixed_Full,mix,2,0.34719259308802375,2022-05-31
124,124,tcfnn,Wrist,Normal,off,2,0.3499919879717392,2022-05-31
125,125,rr,Wrist,Normal,off,2,0.3838383262851486,2022-05-31
126,126,tcfnn,Wrist,Wrist,on,2,0.2570037127118449,2022-05-31
127,127,rr,Wrist,Wrist,on,2,0.3440266257609606,2022-05-31
128,128,tcfnn,Wrist,SprWrst,off,2,0.3373692677573461,2022-05-31
129,129,rr,Wrist,SprWrst,off,2,0.4037445715391844,2022-05-31
130,130,tcfnn,Wrist,Spring,off,2,0.3196695469767951,2022-05-31
131,131,rr,Wrist,Spring,off,2,0.38947279354449055,2022-05-31
132,132,tcfnn,SprWrst,Mixed,mix,2,0.2698381395249964,2022-05-31
133,133,rr,SprWrst,Mixed,mix,2,0.35579731852843743,2022-05-31
134,134,tcfnn,SprWrst,Mixed_Full,mix,2,0.2560851491977259,2022-05-31
135,135,rr,SprWrst,Mixed_Full,mix,2,0.34637137371253346,2022-05-31
136,136,tcfnn,SprWrst,Normal,off,2,0.33181973905971496,2022-05-31
137,137,rr,SprWrst,Normal,off,2,0.3742220748964304,2022-05-31
138,138,tcfnn,SprWrst,Wrist,off,2,0.36756965169950884,2022-05-31
139,139,rr,SprWrst,Wrist,off,2,0.4234599736511098,2022-05-31
140,140,tcfnn,SprWrst,SprWrst,on,2,0.26465187448239286,2022-05-31
141,141,rr,SprWrst,SprWrst,on,2,0.33656898309774674,2022-05-31
142,142,tcfnn,SprWrst,Spring,off,2,0.2802952673610818,2022-05-31
143,143,rr,SprWrst,Spring,off,2,0.3669217458096933,2022-05-31
144,144,tcfnn,Normal,Mixed,mix,3,0.17984717147156687,2022-05-31
145,145,rr,Normal,Mixed,mix,3,0.2633926269573534,2022-05-31
146,146,tcfnn,Normal,Mixed_Full,mix,3,0.1855632947538929,2022-05-31
147,147,rr,Normal,Mixed_Full,mix,3,0.2554898012645243,2022-05-31
148,148,tcfnn,Normal,Normal,on,3,0.1801402433200342,2022-05-31
149,149,rr,Normal,Normal,on,3,0.2565460406062137,2022-05-31
150,150,tcfnn,Normal,Wrist,off,3,0.24416761651909077,2022-05-31
151,151,rr,Normal,Wrist,off,3,0.3035340315008922,2022-05-31
152,152,tcfnn,Normal,SprWrst,off,3,0.23361664832052517,2022-05-31
153,153,rr,Normal,SprWrst,off,3,0.29490488263967984,2022-05-31
154,154,tcfnn,Normal,Spring,off,3,0.20346723584159063,2022-05-31
155,155,rr,Normal,Spring,off,3,0.27055840270626,2022-05-31
156,156,tcfnn,Spring,Mixed,mix,3,0.25343519774366763,2022-05-31
157,157,rr,Spring,Mixed,mix,3,0.34126557514652794,2022-05-31
158,158,tcfnn,Spring,Mixed_Full,mix,3,0.2521929075244841,2022-05-31
159,159,rr,Spring,Mixed_Full,mix,3,0.3347951060502137,2022-05-31
160,160,tcfnn,Spring,Normal,off,3,0.25286644322030044,2022-05-31
161,161,rr,Spring,Normal,off,3,0.3472657978132182,2022-05-31
162,162,tcfnn,Spring,Wrist,off,3,0.3561354686031701,2022-05-31
163,163,rr,Spring,Wrist,off,3,0.3928109313642631,2022-05-31
164,164,tcfnn,Spring,SprWrst,off,3,0.27470318392130877,2022-05-31
165,165,rr,Spring,SprWrst,off,3,0.36796172468951605,2022-05-31
166,166,tcfnn,Spring,Spring,on,3,0.22655379082023316,2022-05-31
167,167,rr,Spring,Spring,on,3,0.33255965009453753,2022-05-31
168,168,tcfnn,Wrist,Mixed,mix,3,0.2620188383832725,2022-05-31
169,169,rr,Wrist,Mixed,mix,3,0.35399390523155594,2022-05-31
170,170,tcfnn,Wrist,Mixed_Full,mix,3,0.2813424603866679,2022-05-31
171,171,rr,Wrist,Mixed_Full,mix,3,0.3463552989851732,2022-05-31
172,172,tcfnn,Wrist,Normal,off,3,0.3195661455334518,2022-05-31
173,173,rr,Wrist,Normal,off,3,0.3835770927265603,2022-05-31
174,174,tcfnn,Wrist,Wrist,on,3,0.28176402335314205,2022-05-31
175,175,rr,Wrist,Wrist,on,3,0.3426986062105254,2022-05-31
176,176,tcfnn,Wrist,SprWrst,off,3,0.34218746748064055,2022-05-31
177,177,rr,Wrist,SprWrst,off,3,0.4004454605308781,2022-05-31
178,178,tcfnn,Wrist,Spring,off,3,0.34087539721784826,2022-05-31
179,179,rr,Wrist,Spring,off,3,0.3902198833005048,2022-05-31
180,180,tcfnn,SprWrst,Mixed,mix,3,0.28003213309974306,2022-05-31
181,181,rr,SprWrst,Mixed,mix,3,0.35812821945097184,2022-05-31
182,182,tcfnn,SprWrst,Mixed_Full,mix,3,0.2722102731690915,2022-05-31
183,183,rr,SprWrst,Mixed_Full,mix,3,0.3458138267918496,2022-05-31
184,184,tcfnn,SprWrst,Normal,off,3,0.3135321641552729,2022-05-31
185,185,rr,SprWrst,Normal,off,3,0.3735715335269973,2022-05-31
186,186,tcfnn,SprWrst,Wrist,off,3,0.36988689542466224,2022-05-31
187,187,rr,SprWrst,Wrist,off,3,0.41815267333680056,2022-05-31
188,188,tcfnn,SprWrst,SprWrst,on,3,0.24944477352221897,2022-05-31
189,189,rr,SprWrst,SprWrst,on,3,0.3371965945161415,2022-05-31
190,190,tcfnn,SprWrst,Spring,off,3,0.2887633495227777,2022-05-31
191,191,rr,SprWrst,Spring,off,3,0.3632996669058168,2022-05-31
192,192,tcfnn,Normal,Mixed,mix,4,0.18562133813415596,2022-05-31
193,193,rr,Normal,Mixed,mix,4,0.26203556819349144,2022-05-31
194,194,tcfnn,Normal,Mixed_Full,mix,4,0.16897612183820832,2022-05-31
195,195,rr,Normal,Mixed_Full,mix,4,0.25432140266879694,2022-05-31
196,196,tcfnn,Normal,Normal,on,4,0.20209212586460462,2022-05-31
197,197,rr,Normal,Normal,on,4,0.2558249338217449,2022-05-31
198,198,tcfnn,Normal,Wrist,off,4,0.24389950163826607,2022-05-31
199,199,rr,Normal,Wrist,off,4,0.3038736852718653,2022-05-31
200,200,tcfnn,Normal,SprWrst,off,4,0.23422763170159766,2022-05-31
201,201,rr,Normal,SprWrst,off,4,0.29402277933414844,2022-05-31
202,202,tcfnn,Normal,Spring,off,4,0.19047619903673046,2022-05-31
203,203,rr,Normal,Spring,off,4,0.2669175608535777,2022-05-31
204,204,tcfnn,Spring,Mixed,mix,4,0.2611266193826179,2022-05-31
205,205,rr,Spring,Mixed,mix,4,0.3437878499388717,2022-05-31
206,206,tcfnn,Spring,Mixed_Full,mix,4,0.2420339154560686,2022-05-31
207,207,rr,Spring,Mixed_Full,mix,4,0.3351580298630674,2022-05-31
208,208,tcfnn,Spring,Normal,off,4,0.29026990529085606,2022-05-31
209,209,rr,Spring,Normal,off,4,0.3453873988588647,2022-05-31
210,210,tcfnn,Spring,Wrist,off,4,0.35827082873995475,2022-05-31
211,211,rr,Spring,Wrist,off,4,0.3961198111567154,2022-05-31
212,212,tcfnn,Spring,SprWrst,off,4,0.2689479729134263,2022-05-31
213,213,rr,Spring,SprWrst,off,4,0.37157617214202876,2022-05-31
214,214,tcfnn,Spring,Spring,on,4,0.23472321891676168,2022-05-31
215,215,rr,Spring,Spring,on,4,0.33371684275730806,2022-05-31
216,216,tcfnn,Wrist,Mixed,mix,4,0.269013499568693,2022-05-31
217,217,rr,Wrist,Mixed,mix,4,0.3555856999133447,2022-05-31
218,218,tcfnn,Wrist,Mixed_Full,mix,4,0.25482141597222474,2022-05-31
219,219,rr,Wrist,Mixed_Full,mix,4,0.34656245914261136,2022-05-31
220,220,tcfnn,Wrist,Normal,off,4,0.29592502425057715,2022-05-31
221,221,rr,Wrist,Normal,off,4,0.3846530256292192,2022-05-31
222,222,tcfnn,Wrist,Wrist,on,4,0.2670368688700197,2022-05-31
223,223,rr,Wrist,Wrist,on,4,0.3422131519351421,2022-05-31
224,224,tcfnn,Wrist,SprWrst,off,4,0.34610868370450376,2022-05-31
225,225,rr,Wrist,SprWrst,off,4,0.3992123642996042,2022-05-31
226,226,tcfnn,Wrist,Spring,off,4,0.32984734605896154,2022-05-31
227,227,rr,Wrist,Spring,off,4,0.3861483174663685,2022-05-31
228,228,tcfnn,SprWrst,Mixed,mix,4,0.27458725110151333,2022-05-31
