,,decoder,mean,counts,std
tt,0,RN,777.8786707882534,1294,376.8044925940599
tt,1,RK,1170.6162162162161,1110,654.2096137116728
ot,0,RN,914.3685847589425,643,744.1818644812298
ot,1,RK,1217.418467583497,509,925.9541619179847
or,0,RN,0.48418674698795183,1328,0.0
or,1,RK,0.44688323090430204,1139,0.0
