,date,div,Decoder,counts,hc_counts
0,2020-09-12,0.29276267003092754,RK,382,396
1,2020-09-12,0.15946483201762943,RN,451,396
2,2020-09-19,0.3187787129281193,RK,372,394
3,2020-09-19,0.20928340613107735,RN,489,394
4,2021-07-31,0.28733642165736717,RK,385,397
5,2021-07-31,0.07018248732435327,RN,388,397
